Code,Msoa_name,education_no qualifications,net weekly income,lone_parent_unemployed,work_49hr_more,no_car_in_household,families_with_3plus_kids,child_poverty,overcrowded_houses,limiting_long-term_illness_disability,health_life_expectancy_at_birth,self_harm_hospital_admission,hospital_admission_associated_with_alcohol,regular_smoking_at15,samhi_index.2011,AvPTAI2015,supermarket,fast_food,population_cannot_speak_english
E02000936,Wandsworth 014,8.5,1240,53.5,1166,1908,15.69282137,14.8,20.5,11.8,66.52505,23.5,84.6,5.9,-1.684355072700232,271.5917449392712,2,0,1.5
E02000937,Wandsworth 015,7.1,1505,37.6,1449,1084,19.70649895,5.1,11.3,8.1,65.436495,11,62.3,8.5,-1.960924515385859,467.3946514285714,0,0,1.0
E02000938,Wandsworth 016,17.7,825,52.7,781,1850,16.72661871,22.0,18.9,16.7,64.22227,68.6,96.1,3.7,-1.152665024106595,505.012393442623,0,2,2.6
E02000939,Wandsworth 017,7.6,1515,50.8,1354,787,18.52534562,4.5,11.3,9.1,69.80439,28.8,58.6,8.1,-1.562672210922955,475.2583,0,0,1.2
E02000940,Wandsworth 018,14.7,920,51.0,819,1874,17.20183486,25.7,27.3,11.4,60.527595,35.5,94.4,3.8,-1.549662516601143,142.1643514851485,4,3,3.4
E02000941,Wandsworth 019,9.8,1280,43.7,1598,1372,19.05187835,8.8,12.5,9.3,67.813305,87.7,103.5,6.8,-1.363117546566888,153.8776506024096,0,0,1.2
E02000942,Wandsworth 020,7.9,1430,34.2,1332,1134,21.34423252,5.5,12.6,8.7,71.211715,26.3,67.3,7.5,-1.933556311970408,480.0745291005291,2,3,2.1
E02000943,Wandsworth 021,7.5,1435,37.6,1452,1698,18.85790173,9.3,19.4,8.5,66.959455,25.8,76.1,7.1,-1.494281538268953,266.8387676767677,4,4,1.4
E02000944,Wandsworth 022,17.3,890,47.9,585,1336,21.13459399,25.3,28.2,15.1,59.797255,56.8,124.4,3.0,-1.416396253751423,612.957,0,0,4.1
E02000945,Wandsworth 023,18.7,725,48.1,343,1407,21.20051086,28.8,25.5,16.0,62.727265,82.1,124.2,3.5,-1.147365784960385,633.9448,2,0,4.2
E02000946,Wandsworth 024,15.9,1045,46.9,1000,1233,18.43137255,19.6,17.6,13.6,59.12465,47.4,73.2,4.5,-1.69742412389309,385.6899877300614,1,2,2.9
E02000947,Wandsworth 025,8.6,1400,38.3,1204,1387,9.359104781,6.1,10.7,8.8,64.92792,16.9,69.9,7.6,-1.951713732952087,463.1137417582418,0,0,1.2
E02000948,Wandsworth 026,8.0,1285,46.9,1577,2048,13.08176101,12.7,16.6,9.1,65.362625,33,94.4,5.3,-1.48603469263459,339.0557666666667,0,0,1.3
E02000949,Wandsworth 027,7.0,1400,31.2,1573,1540,20.24291498,4.6,17.9,10.0,69.864335,33.9,82.4,7.5,-1.407936572835264,327.5161694915254,1,0,1.0
E02000950,Wandsworth 028,12.2,1120,46.0,803,1110,18.87694146,15.4,16.3,10.8,67.913165,30.9,76.8,5.8,-1.983156893052657,615.2247081081081,0,0,3.0
E02000951,Wandsworth 029,10.0,1130,43.4,831,1465,16.34446397,12.8,23.5,13.0,63.56146,20.5,92.8,4.5,-1.55115544748934,218.5170471698113,3,1,1.8
E02000952,Wandsworth 030,10.1,1135,50.4,817,1260,23.27447833,10.7,23.1,11.7,66.38057,71.2,110.6,4.0,-1.661944236563554,171.9389029126214,1,0,2.4
E02000953,Wandsworth 031,10.4,1215,37.1,860,1307,14.09883721,8.7,24.3,9.1,67.12499,33.7,74.2,4.8,-1.708730536194639,538.1085968992248,1,4,2.1
E02000954,Wandsworth 032,13.0,1110,57.5,560,951,22.44897959,13.4,16.6,12.0,61.74628,33.3,81.2,3.3,-1.793199555407352,189.4156981132076,1,0,4.5
E02000955,Wandsworth 033,18.0,830,53.3,429,1224,17.40696279,23.2,21.3,14.3,61.67869,41.1,105.0,3.0,-1.699253441555026,173.899801980198,1,0,4.9
E02000956,Wandsworth 034,14.4,845,55.5,511,1790,20.69857697,25.0,27.4,12.5,59.14623,50.5,116.1,3.2,-1.560634282176212,117.9787067669173,1,0,4.6
E02000957,Wandsworth 035,13.5,910,53.5,820,2219,16.2138475,18.6,22.9,12.7,62.943195,21.8,103.8,3.4,-1.826565098527167,305.7723357664234,3,0,5.5
E02000958,Wandsworth 036,14.4,995,39.2,563,1034,19.8156682,11.6,14.3,13.1,62.73628,35.7,85.6,5.1,-1.705707025294474,530.4543524590164,1,0,3.4
E02000959,Wandsworth 037,16.9,830,49.8,488,1427,17.49745677,20.1,22.6,13.9,61.76793,34.9,108.5,3.8,-1.527256250661682,433.5030839694657,1,0,4.9
E02000960,Westminster 001,11.7,1075,49.6,1133,1507,14.36781609,6.7,18.3,13.9,67.53148,11.6,46.8,6.4,-2.116615330797856,164.7948996655518,1,0,4.2
E02000961,Westminster 002,13.7,1040,60.5,1325,2050,23.67972743,13.8,24.2,13.9,67.29,20,61.4,5.6,-1.627782816611677,199.5256120401337,0,0,4.7
E02000962,Westminster 003,14.0,855,56.2,1142,2700,19.63636364,11.1,30.8,16.9,64.63088,13.8,71.7,4.4,-1.24372779871817,87.93830699088146,0,0,4.9
